"","ligand_cl","receptor_cl","lr_id","ligand_exp","receptor_exp","int_exp","id","ligand_symbol","receptor_symbol"
"687509","TRAM","MoAM",818,0.32830626450116,0.127049180327869,0.127049180327869,"TRAM->MoAM/818","Igf1","Insr"
"687567","TRAM","AT2_Retnla",818,0.32830626450116,0.151832460732984,0.151832460732984,"TRAM->AT2_Retnla/818","Igf1","Insr"
"687712","TRAM","Fibroblasts",818,0.32830626450116,0.160714285714286,0.160714285714286,"TRAM->Fibroblasts/818","Igf1","Insr"
"687770","TRAM","Mesothelium",818,0.32830626450116,0.189189189189189,0.189189189189189,"TRAM->Mesothelium/818","Igf1","Insr"
"687857","TRAM","Smooth_muscle_cells",818,0.32830626450116,0.130434782608696,0.130434782608696,"TRAM->Smooth_muscle_cells/818","Igf1","Insr"
"691455","IM","TRAM",823,0.41304347826087,0.103248259860789,0.103248259860789,"IM->TRAM/823","Igfbp4","Lrp6"
"691687","IM","Endo_2",823,0.41304347826087,0.113924050632911,0.113924050632911,"IM->Endo_2/823","Igfbp4","Lrp6"
"691716","IM","MoAM",823,0.41304347826087,0.151639344262295,0.151639344262295,"IM->MoAM/823","Igfbp4","Lrp6"
"691774","IM","AT2_Retnla",823,0.41304347826087,0.235602094240838,0.235602094240838,"IM->AT2_Retnla/823","Igfbp4","Lrp6"
"691861","IM","pDC",823,0.41304347826087,0.125,0.125,"IM->pDC/823","Igfbp4","Lrp6"
"692093","IM","Lymphatics",823,0.41304347826087,0.2,0.2,"IM->Lymphatics/823","Igfbp4","Lrp6"
"722687","Neutrophils","DC2",860,0.771084337349398,0.139097744360902,0.139097744360902,"Neutrophils->DC2/860","Il1b","Adrb2"
"722861","Neutrophils","Ciliated_cells",860,0.771084337349398,0.100917431192661,0.100917431192661,"Neutrophils->Ciliated_cells/860","Il1b","Adrb2"
"722977","Neutrophils","pDC",860,0.771084337349398,0.104166666666667,0.104166666666667,"Neutrophils->pDC/860","Il1b","Adrb2"
"723209","Neutrophils","Lymphatics",860,0.771084337349398,0.16,0.16,"Neutrophils->Lymphatics/860","Il1b","Adrb2"
"723557","Neutrophils","Endo_1",861,0.771084337349398,0.130681818181818,0.130681818181818,"Neutrophils->Endo_1/861","Il1b","Il1r1"
"723760","Neutrophils","ILC",861,0.771084337349398,0.111111111111111,0.111111111111111,"Neutrophils->ILC/861","Il1b","Il1r1"
"724688","Neutrophils","Tregs",862,0.771084337349398,0.116279069767442,0.116279069767442,"Neutrophils->Tregs/862","Il1b","Il1r2"
"725094","Neutrophils","TRAM",863,0.771084337349398,0.121809744779582,0.121809744779582,"Neutrophils->TRAM/863","Il1b","Il1rap"
"725355","Neutrophils","MoAM",863,0.771084337349398,0.147540983606557,0.147540983606557,"Neutrophils->MoAM/863","Il1b","Il1rap"
